,alpha,beta,m_connections,index_cases,graph,rmse
16,0.98,0.8300000000000001,100,3,barabasi_albert_graph_100,165.50458975741196
111,0.96,0.87,100,3,barabasi_albert_graph_100,165.54346396502177
396,0.9,0.99,100,3,barabasi_albert_graph_100,165.55577726136707
397,0.9,0.98,100,3,barabasi_albert_graph_100,165.5709933718882
206,0.9400000000000001,0.91,100,3,barabasi_albert_graph_100,165.60316329197246
302,0.92,0.9400000000000001,100,3,barabasi_albert_graph_100,165.64233944068954
112,0.96,0.86,100,3,barabasi_albert_graph_100,165.65870847108428
2373,0.52,0.03,100,3,barabasi_albert_graph_100,165.71286566272954
113,0.96,0.85,100,3,barabasi_albert_graph_100,165.76062444194827
207,0.9400000000000001,0.9,100,3,barabasi_albert_graph_100,165.7800210659155
17,0.98,0.8200000000000001,100,3,barabasi_albert_graph_100,165.8114313587298
398,0.9,0.97,100,3,barabasi_albert_graph_100,165.8580718566329
303,0.92,0.93,100,3,barabasi_albert_graph_100,165.88044814541308
399,0.9,0.96,100,3,barabasi_albert_graph_100,165.96466259649742
18,0.98,0.81,100,3,barabasi_albert_graph_100,165.99907321335354
19,0.98,0.8,100,3,barabasi_albert_graph_100,166.0072519268592
114,0.96,0.84,100,3,barabasi_albert_graph_100,166.024766456463
208,0.9400000000000001,0.89,100,3,barabasi_albert_graph_100,166.0328280792687
400,0.9,0.9500000000000001,100,3,barabasi_albert_graph_100,166.03322188414813
115,0.96,0.8300000000000001,100,3,barabasi_albert_graph_100,166.03451911714484
3462,0.3,0.03,100,3,barabasi_albert_graph_100,166.11342278927742
304,0.92,0.92,100,3,barabasi_albert_graph_100,166.1337274144398
3264,0.34,0.03,100,3,barabasi_albert_graph_100,166.19284442617118
209,0.9400000000000001,0.88,100,3,barabasi_albert_graph_100,166.22063650461695
401,0.9,0.9400000000000001,100,3,barabasi_albert_graph_100,166.22665249592197
116,0.96,0.8200000000000001,100,3,barabasi_albert_graph_100,166.2635766578986
496,0.88,0.98,100,3,barabasi_albert_graph_100,166.27079395695722
20,0.98,0.79,100,3,barabasi_albert_graph_100,166.31478494802465
305,0.92,0.91,100,3,barabasi_albert_graph_100,166.33402445773893
117,0.96,0.81,100,3,barabasi_albert_graph_100,166.34600177849873
495,0.88,0.99,100,3,barabasi_albert_graph_100,166.3529149359647
21,0.98,0.78,100,3,barabasi_albert_graph_100,166.35814007505243
211,0.9400000000000001,0.86,100,3,barabasi_albert_graph_100,166.45865737589205
210,0.9400000000000001,0.87,100,3,barabasi_albert_graph_100,166.4930120963732
497,0.88,0.97,100,3,barabasi_albert_graph_100,166.50315312329673
212,0.9400000000000001,0.85,100,3,barabasi_albert_graph_100,166.54749842242973
402,0.9,0.93,100,3,barabasi_albert_graph_100,166.5495999117657
306,0.92,0.9,100,3,barabasi_albert_graph_100,166.5872836591169
22,0.98,0.77,100,3,barabasi_albert_graph_100,166.64125447291764
307,0.92,0.89,100,3,barabasi_albert_graph_100,166.66638717925284
498,0.88,0.96,100,3,barabasi_albert_graph_100,166.6995916196373
403,0.9,0.92,100,3,barabasi_albert_graph_100,166.72263931913525
213,0.9400000000000001,0.84,100,3,barabasi_albert_graph_100,166.73165912281374
308,0.92,0.88,100,3,barabasi_albert_graph_100,166.7725535433952
118,0.96,0.8,100,3,barabasi_albert_graph_100,166.78915755205156
309,0.92,0.87,100,3,barabasi_albert_graph_100,166.84608291660726
499,0.88,0.9500000000000001,100,3,barabasi_albert_graph_100,166.85786212775878
23,0.98,0.76,100,3,barabasi_albert_graph_100,166.89367872990277
215,0.9400000000000001,0.8200000000000001,100,3,barabasi_albert_graph_100,166.91626182471995
404,0.9,0.91,100,3,barabasi_albert_graph_100,166.9299945393969
405,0.9,0.9,100,3,barabasi_albert_graph_100,166.9329667399923
214,0.9400000000000001,0.8300000000000001,100,3,barabasi_albert_graph_100,166.94660592767147
119,0.96,0.79,100,3,barabasi_albert_graph_100,166.96936614471898
310,0.92,0.86,100,3,barabasi_albert_graph_100,166.97443378691702
406,0.9,0.89,100,3,barabasi_albert_graph_100,167.08657359860808
500,0.88,0.9400000000000001,100,3,barabasi_albert_graph_100,167.09083204606455
24,0.98,0.75,100,3,barabasi_albert_graph_100,167.10758855852762
594,0.86,0.99,100,3,barabasi_albert_graph_100,167.19778706669535
216,0.9400000000000001,0.81,100,3,barabasi_albert_graph_100,167.20944949374123
407,0.9,0.88,100,3,barabasi_albert_graph_100,167.22987403341176
25,0.98,0.74,100,3,barabasi_albert_graph_100,167.26570295375973
311,0.92,0.85,100,3,barabasi_albert_graph_100,167.28331564237868
121,0.96,0.77,100,3,barabasi_albert_graph_100,167.28648848836906
501,0.88,0.93,100,3,barabasi_albert_graph_100,167.28897154325506
502,0.88,0.92,100,3,barabasi_albert_graph_100,167.30593809867275
120,0.96,0.78,100,3,barabasi_albert_graph_100,167.3113173789416
312,0.92,0.84,100,3,barabasi_albert_graph_100,167.32483378148027
595,0.86,0.98,100,3,barabasi_albert_graph_100,167.3642503872685
503,0.88,0.91,100,3,barabasi_albert_graph_100,167.44532976926666
505,0.88,0.89,100,3,barabasi_albert_graph_100,167.47116858639373
504,0.88,0.9,100,3,barabasi_albert_graph_100,167.4805384790447
408,0.9,0.87,100,3,barabasi_albert_graph_100,167.63222106284204
409,0.9,0.86,100,3,barabasi_albert_graph_100,167.63639681901284
123,0.96,0.75,100,3,barabasi_albert_graph_100,167.63841582864728
596,0.86,0.97,100,3,barabasi_albert_graph_100,167.66826221395078
26,0.98,0.73,100,3,barabasi_albert_graph_100,167.68583262022602
313,0.92,0.8300000000000001,100,3,barabasi_albert_graph_100,167.69665837687177
122,0.96,0.76,100,3,barabasi_albert_graph_100,167.71440927041147
597,0.86,0.96,100,3,barabasi_albert_graph_100,167.72704474371906
218,0.9400000000000001,0.79,100,3,barabasi_albert_graph_100,167.7373633896845
599,0.86,0.9400000000000001,100,3,barabasi_albert_graph_100,167.73990855809157
598,0.86,0.9500000000000001,100,3,barabasi_albert_graph_100,167.7926146719859
217,0.9400000000000001,0.8,100,3,barabasi_albert_graph_100,167.81322034654158
314,0.92,0.8200000000000001,100,3,barabasi_albert_graph_100,167.82582546291167
694,0.84,0.98,100,3,barabasi_albert_graph_100,167.83661927371742
219,0.9400000000000001,0.78,100,3,barabasi_albert_graph_100,167.84028580308583
506,0.88,0.88,100,3,barabasi_albert_graph_100,167.87119604487978
693,0.84,0.99,100,3,barabasi_albert_graph_100,167.8741057596894
220,0.9400000000000001,0.77,100,3,barabasi_albert_graph_100,167.89554903157912
410,0.9,0.85,100,3,barabasi_albert_graph_100,167.9117671232768
601,0.86,0.92,100,3,barabasi_albert_graph_100,167.96430481595692
411,0.9,0.84,100,3,barabasi_albert_graph_100,168.04227947843273
695,0.84,0.97,100,3,barabasi_albert_graph_100,168.04825314359977
600,0.86,0.93,100,3,barabasi_albert_graph_100,168.05733911605654
507,0.88,0.87,100,3,barabasi_albert_graph_100,168.0650743931327
27,0.98,0.72,100,3,barabasi_albert_graph_100,168.09171031589594
602,0.86,0.91,100,3,barabasi_albert_graph_100,168.1255025728834
697,0.84,0.9500000000000001,100,3,barabasi_albert_graph_100,168.19400428351506
315,0.92,0.81,100,3,barabasi_albert_graph_100,168.199789627601
696,0.84,0.96,100,3,barabasi_albert_graph_100,168.24023574364404
698,0.84,0.9400000000000001,100,3,barabasi_albert_graph_100,168.26115233355375
3363,0.32,0.03,100,3,barabasi_albert_graph_100,168.2634838579066
412,0.9,0.8300000000000001,100,3,barabasi_albert_graph_100,168.34646051886796
508,0.88,0.86,100,3,barabasi_albert_graph_100,168.36096752102426
316,0.92,0.8,100,3,barabasi_albert_graph_100,168.36334335185728
28,0.98,0.71,100,3,barabasi_albert_graph_100,168.39319829128857
603,0.86,0.9,100,3,barabasi_albert_graph_100,168.40057555172976
221,0.9400000000000001,0.76,100,3,barabasi_albert_graph_100,168.40167183529704
699,0.84,0.93,100,3,barabasi_albert_graph_100,168.408774666332
604,0.86,0.89,100,3,barabasi_albert_graph_100,168.41685919627662
318,0.92,0.78,100,3,barabasi_albert_graph_100,168.42094698883326
124,0.96,0.74,100,3,barabasi_albert_graph_100,168.46590616044998
29,0.98,0.7000000000000001,100,3,barabasi_albert_graph_100,168.50097009535855
792,0.8200000000000001,0.99,100,3,barabasi_albert_graph_100,168.5012211779533
793,0.8200000000000001,0.98,100,3,barabasi_albert_graph_100,168.52655577089328
125,0.96,0.73,100,3,barabasi_albert_graph_100,168.52888362350419
509,0.88,0.85,100,3,barabasi_albert_graph_100,168.54214264139947
794,0.8200000000000001,0.97,100,3,barabasi_albert_graph_100,168.54846369927142
222,0.9400000000000001,0.75,100,3,barabasi_albert_graph_100,168.59204288185407
317,0.92,0.79,100,3,barabasi_albert_graph_100,168.59895519340472
413,0.9,0.8200000000000001,100,3,barabasi_albert_graph_100,168.62550678489166
605,0.86,0.88,100,3,barabasi_albert_graph_100,168.6567520142612
795,0.8200000000000001,0.96,100,3,barabasi_albert_graph_100,168.68450295881226
510,0.88,0.84,100,3,barabasi_albert_graph_100,168.76178021559994
414,0.9,0.81,100,3,barabasi_albert_graph_100,168.80106634734273
701,0.84,0.91,100,3,barabasi_albert_graph_100,168.80227395478917
126,0.96,0.72,100,3,barabasi_albert_graph_100,168.80746884679462
700,0.84,0.92,100,3,barabasi_albert_graph_100,168.8111142895879
796,0.8200000000000001,0.9500000000000001,100,3,barabasi_albert_graph_100,168.8582017779779
319,0.92,0.77,100,3,barabasi_albert_graph_100,168.89350308586586
891,0.8,0.99,100,3,barabasi_albert_graph_100,168.91941638180387
30,0.98,0.6900000000000001,100,3,barabasi_albert_graph_100,168.929502820191
127,0.96,0.71,100,3,barabasi_albert_graph_100,168.93148360754472
1977,0.6,0.03,100,3,barabasi_albert_graph_100,168.98877978229115
606,0.86,0.87,100,3,barabasi_albert_graph_100,168.99515241113141
223,0.9400000000000001,0.74,100,3,barabasi_albert_graph_100,169.05301853833632
511,0.88,0.8300000000000001,100,3,barabasi_albert_graph_100,169.07569993258141
702,0.84,0.9,100,3,barabasi_albert_graph_100,169.11225220590566
416,0.9,0.79,100,3,barabasi_albert_graph_100,169.12783058066782
892,0.8,0.98,100,3,barabasi_albert_graph_100,169.13979197920645
2274,0.54,0.03,100,3,barabasi_albert_graph_100,169.156777530832
415,0.9,0.8,100,3,barabasi_albert_graph_100,169.1638941291051
2076,0.58,0.03,100,3,barabasi_albert_graph_100,169.1691006519353
2175,0.56,0.03,100,3,barabasi_albert_graph_100,169.20185941877008
224,0.9400000000000001,0.73,100,3,barabasi_albert_graph_100,169.21258818421282
512,0.88,0.8200000000000001,100,3,barabasi_albert_graph_100,169.22038429674618
31,0.98,0.68,100,3,barabasi_albert_graph_100,169.22668002052524
797,0.8200000000000001,0.9400000000000001,100,3,barabasi_albert_graph_100,169.29703073410536
128,0.96,0.7000000000000001,100,3,barabasi_albert_graph_100,169.36946414455997
320,0.92,0.76,100,3,barabasi_albert_graph_100,169.43156095059103
321,0.92,0.75,100,3,barabasi_albert_graph_100,169.45312490025535
607,0.86,0.86,100,3,barabasi_albert_graph_100,169.4573692702681
893,0.8,0.97,100,3,barabasi_albert_graph_100,169.55498314025544
798,0.8200000000000001,0.93,100,3,barabasi_albert_graph_100,169.5560946435404
32,0.98,0.67,100,3,barabasi_albert_graph_100,169.57340139756135
513,0.88,0.81,100,3,barabasi_albert_graph_100,169.58535404831488
799,0.8200000000000001,0.92,100,3,barabasi_albert_graph_100,169.60134252008555
129,0.96,0.6900000000000001,100,3,barabasi_albert_graph_100,169.6210935721598
225,0.9400000000000001,0.72,100,3,barabasi_albert_graph_100,169.64855074308997
703,0.84,0.89,100,3,barabasi_albert_graph_100,169.65462654372945
704,0.84,0.88,100,3,barabasi_albert_graph_100,169.66863632930557
894,0.8,0.96,100,3,barabasi_albert_graph_100,169.68259962466576
1779,0.64,0.03,100,3,barabasi_albert_graph_100,169.68874220398132
609,0.86,0.84,100,3,barabasi_albert_graph_100,169.7004374229438
226,0.9400000000000001,0.71,100,3,barabasi_albert_graph_100,169.72944533988382
608,0.86,0.85,100,3,barabasi_albert_graph_100,169.74453656099715
895,0.8,0.9500000000000001,100,3,barabasi_albert_graph_100,169.76617403403378
130,0.96,0.68,100,3,barabasi_albert_graph_100,169.78862424519767
418,0.9,0.77,100,3,barabasi_albert_graph_100,169.81299669387454
800,0.8200000000000001,0.91,100,3,barabasi_albert_graph_100,169.83494249508166
417,0.9,0.78,100,3,barabasi_albert_graph_100,169.83668626065455
610,0.86,0.8300000000000001,100,3,barabasi_albert_graph_100,169.8479183994181
322,0.92,0.74,100,3,barabasi_albert_graph_100,169.89947253958962
514,0.88,0.8,100,3,barabasi_albert_graph_100,169.93032508830018
33,0.98,0.66,100,3,barabasi_albert_graph_100,169.98244253225323
705,0.84,0.87,100,3,barabasi_albert_graph_100,170.01683174592768
419,0.9,0.76,100,3,barabasi_albert_graph_100,170.0287984657079
4058,0.18,0.01,100,3,barabasi_albert_graph_100,170.07559405249094
227,0.9400000000000001,0.7000000000000001,100,3,barabasi_albert_graph_100,170.0808405073667
990,0.78,0.99,100,3,barabasi_albert_graph_100,170.1027065311742
706,0.84,0.86,100,3,barabasi_albert_graph_100,170.11457677333013
323,0.92,0.73,100,3,barabasi_albert_graph_100,170.1221959018327
515,0.88,0.79,100,3,barabasi_albert_graph_100,170.14921053638142
991,0.78,0.98,100,3,barabasi_albert_graph_100,170.20763338210912
707,0.84,0.85,100,3,barabasi_albert_graph_100,170.22125872838834
801,0.8200000000000001,0.9,100,3,barabasi_albert_graph_100,170.24380707137
611,0.86,0.8200000000000001,100,3,barabasi_albert_graph_100,170.2493872122712
708,0.84,0.84,100,3,barabasi_albert_graph_100,170.27053134983117
34,0.98,0.65,100,3,barabasi_albert_graph_100,170.27138971020983
896,0.8,0.9400000000000001,100,3,barabasi_albert_graph_100,170.27665272003225
324,0.92,0.72,100,3,barabasi_albert_graph_100,170.33769626606664
516,0.88,0.78,100,3,barabasi_albert_graph_100,170.34514736489922
420,0.9,0.75,100,3,barabasi_albert_graph_100,170.3471342695443
802,0.8200000000000001,0.89,100,3,barabasi_albert_graph_100,170.37709307930407
897,0.8,0.93,100,3,barabasi_albert_graph_100,170.44543453506213
898,0.8,0.92,100,3,barabasi_albert_graph_100,170.45928907152356
228,0.9400000000000001,0.6900000000000001,100,3,barabasi_albert_graph_100,170.4845582901414
421,0.9,0.74,100,3,barabasi_albert_graph_100,170.49547704355
131,0.96,0.67,100,3,barabasi_albert_graph_100,170.52773291259018
612,0.86,0.81,100,3,barabasi_albert_graph_100,170.57928452098838
803,0.8200000000000001,0.88,100,3,barabasi_albert_graph_100,170.60945054534528
804,0.8200000000000001,0.87,100,3,barabasi_albert_graph_100,170.61434243976632
992,0.78,0.97,100,3,barabasi_albert_graph_100,170.62106011230313
805,0.8200000000000001,0.86,100,3,barabasi_albert_graph_100,170.6376502777382
325,0.92,0.71,100,3,barabasi_albert_graph_100,170.67156944079647
517,0.88,0.77,100,3,barabasi_albert_graph_100,170.69081359626196
899,0.8,0.91,100,3,barabasi_albert_graph_100,170.75828620506914
422,0.9,0.73,100,3,barabasi_albert_graph_100,170.78279052194205
1680,0.66,0.03,100,3,barabasi_albert_graph_100,170.7859659159562
132,0.96,0.66,100,3,barabasi_albert_graph_100,170.82600234426573
613,0.86,0.8,100,3,barabasi_albert_graph_100,170.89891299109675
994,0.78,0.9500000000000001,100,3,barabasi_albert_graph_100,170.9116730946134
993,0.78,0.96,100,3,barabasi_albert_graph_100,170.92353216030216
901,0.8,0.89,100,3,barabasi_albert_graph_100,170.9670233610069
614,0.86,0.79,100,3,barabasi_albert_graph_100,170.97665157738757
35,0.98,0.64,100,3,barabasi_albert_graph_100,170.98434476245524
518,0.88,0.76,100,3,barabasi_albert_graph_100,170.99190264229114
423,0.9,0.72,100,3,barabasi_albert_graph_100,170.99874043620682
519,0.88,0.75,100,3,barabasi_albert_graph_100,171.05842456711864
900,0.8,0.9,100,3,barabasi_albert_graph_100,171.08427972561
806,0.8200000000000001,0.85,100,3,barabasi_albert_graph_100,171.0843022066562
